iter	Passed	Remaining
0	2	2276
1	4	2050
2	6	2060
3	9	2185
4	10	2087
5	12	1989
6	14	1970
7	17	2038
8	18	1985
9	20	1960
10	22	1974
11	25	1982
12	25	1982
13	110	8062
14	314	21216
15	402	25359
16	412	24305
17	421	23330
18	647	33847
19	652	32257
20	654	30722
21	657	29352
22	659	28069
23	660	26894
24	663	25850
25	665	24858
26	667	23949
27	668	23089
28	670	22291
29	672	21558
30	674	20875
31	831	24890
32	855	24795
33	858	24103
34	863	23497
35	868	22922
36	873	22386
37	881	21960
38	883	21419
39	1220	28789
40	1372	31531
41	1435	32134
42	1437	31376
43	1438	30645
44	1440	29959
45	1445	29357
46	1587	31514
47	1603	31118
48	1707	32414
49	1775	32969
50	1778	32331
51	1780	31704
52	1782	31088
53	1785	30516
54	1787	29955
55	1788	29402
56	1791	28882
57	1792	28368
58	1793	27866
59	1794	27381
60	1796	26912
61	1910	28119
62	2016	29171
63	2151	30596
64	2158	30181
65	2163	29758
66	2170	29370
67	2173	28931
68	2387	31288
69	2421	31233
70	2583	32808
71	2610	32645
72	2926	36050
73	2951	35816
74	2985	35710
75	3003	35402
76	3073	35711
77	3075	35226
78	3077	34757
79	3079	34304
80	3080	33851
81	3082	33408
82	3083	32975
83	3084	32556
84	3086	32150
85	3087	31748
86	3088	31356
87	3090	30973
88	3094	30631
89	3096	30264
90	3268	31563
91	3271	31203
92	3275	30865
93	3280	30548
94	3285	30234
95	3287	29899
96	3290	29584
97	3293	29268
98	3294	28946
99	3512	30509
100	3527	30302
101	3537	30053
102	3642	30603
103	3699	30746
104	3719	30576
105	3726	30306
106	3871	31154
107	4087	32546
108	4340	34203
109	4345	33888
110	4346	33550
111	4348	33223
112	4351	32905
113	4354	32603
114	4356	32292
115	4358	31985
116	4359	31682
117	4360	31382
118	4361	31088
119	4514	31866
120	4641	32448
121	4643	32155
122	4644	31865
123	4646	31580
124	4648	31300
125	4652	31039
126	4661	30819
127	4776	31288
128	4780	31038
129	4792	30833
130	4809	30667
131	4810	30406
132	4929	30884
133	5029	31238
134	5036	31005
135	5045	30798
136	5054	30585
137	5057	30342
138	5058	30096
139	5216	30773
140	5218	30530
141	5220	30288
142	5222	30049
143	5224	29810
144	5225	29573
145	5226	29339
146	5228	29113
147	5230	28892
148	5232	28674
149	5234	28458
150	5236	28240
151	5237	28026
152	5474	29063
153	5515	29057
154	5792	30277
155	5825	30214
156	5857	30151
157	5860	29939
158	5862	29720
159	5864	29506
160	5865	29292
161	5867	29081
162	5869	28876
163	5870	28669
164	5872	28467
165	5996	28858
166	5999	28662
167	6003	28473
168	6018	28335
169	6142	28712
170	6155	28569
171	6158	28380
172	6162	28197
173	6167	28020
174	6170	27837
175	6398	28663
176	6401	28480
177	6405	28298
178	6410	28126
179	6414	27950
180	6417	27772
181	6418	27589
182	6419	27408
183	6421	27228
184	6422	27052
185	6425	26882
186	6613	27484
187	6634	27390
188	6701	27482
189	6971	28403
190	6994	28310
191	7238	29104
192	7338	29316
193	7472	29659
194	7474	29476
195	7476	29293
196	7477	29110
197	7479	28930
198	7707	29625
199	7818	29859
200	7839	29752
201	7889	29751
202	7909	29641
203	7912	29467
204	7914	29289
205	7915	29113
206	7916	28938
207	7918	28767
208	7920	28597
209	7921	28427
210	8118	28955
211	8127	28813
212	8130	28647
213	8132	28482
214	8134	28318
215	8136	28155
216	8137	27992
217	8139	27830
218	8140	27670
219	8142	27511
220	8144	27357
221	8145	27202
222	8148	27053
223	8152	26907
224	8156	26764
225	8169	26650
226	8174	26511
227	8177	26370
228	8320	26675
229	8388	26741
230	8392	26599
231	8394	26454
232	8395	26307
233	8397	26166
234	8399	26022
235	8401	25884
236	8404	25746
237	8406	25611
238	8409	25477
239	8414	25348
240	8617	25815
241	8623	25693
242	8638	25594
243	8642	25463
244	8656	25365
245	8681	25299
246	8728	25297
247	8731	25168
248	8733	25037
249	8734	24906
250	8748	24811
251	8752	24688
252	8975	25180
253	8979	25056
254	8982	24930
255	8985	24806
256	8987	24679
257	8988	24553
258	8990	24427
259	8992	24304
260	8994	24181
261	8996	24058
262	8998	23937
263	8999	23816
264	9001	23696
265	9003	23578
266	9147	23831
267	9155	23727
268	9158	23613
269	9159	23494
270	9161	23378
271	9163	23262
272	9164	23146
273	9165	23031
274	9167	22917
275	9169	22805
276	9405	23275
277	9539	23486
278	9552	23400
279	9560	23301
280	9562	23190
281	9564	23078
282	9599	23044
283	9734	23252
284	9788	23264
285	9827	23241
286	9894	23283
287	9931	23254
288	9993	23283
289	10000	23185
290	10199	23528
291	10201	23416
292	10202	23305
293	10204	23194
294	10205	23083
295	10207	22974
296	10209	22866
297	10210	22758
298	10211	22651
299	10389	22933
300	10406	22859
301	10430	22801
302	10432	22695
303	10548	22838
304	10566	22765
305	10622	22777
306	10652	22733
307	10676	22674
308	10817	22864
309	10820	22760
310	10830	22675
311	11041	23005
312	11114	23048
313	11220	23157
314	11293	23198
315	11374	23253
316	11495	23391
317	11584	23461
318	11718	23620
319	11763	23601
320	11766	23495
321	11899	23651
322	11916	23574
323	11971	23573
324	11989	23498
325	12029	23467
326	12048	23393
327	12059	23306
328	12071	23222
329	12073	23119
330	12080	23025
331	12109	22975
332	12121	22892
333	12184	22905
334	12286	22991
335	12300	22911
336	12322	22847
337	12392	22873
338	12703	23340
339	12712	23249
340	12720	23158
341	12729	23070
342	12835	23156
343	12837	23055
344	12839	22953
