iter	Passed	Remaining
0	2	2896
1	4	2381
2	6	2118
3	8	1985
4	9	1902
5	11	1878
6	13	1917
7	15	1900
8	17	1871
9	19	1842
10	21	1876
11	23	1870
12	25	1865
13	27	1858
14	28	1851
15	30	1836
16	32	1837
17	34	1823
18	36	1819
19	38	1829
20	40	1826
21	41	1814
22	43	1809
23	45	1804
24	47	1795
25	49	1788
26	50	1777
27	52	1776
28	54	1765
29	55	1758
30	57	1753
31	59	1752
32	61	1761
33	63	1759
34	65	1752
35	66	1745
36	69	1754
37	71	1753
38	73	1753
39	74	1747
40	76	1749
41	78	1749
42	80	1754
43	82	1750
44	84	1753
45	86	1749
46	88	1755
47	91	1761
48	93	1764
49	95	1761
50	96	1755
51	98	1749
52	100	1747
53	102	1741
54	103	1736
55	105	1732
56	107	1727
57	109	1729
58	111	1725
59	112	1722
60	114	1718
61	117	1724
62	119	1726
63	121	1723
64	122	1719
65	124	1716
66	126	1712
67	128	1708
68	129	1706
69	131	1704
70	134	1707
71	136	1714
72	138	1710
73	140	1709
74	142	1706
75	143	1703
76	145	1699
77	147	1696
78	149	1693
79	151	1690
80	152	1686
81	154	1683
82	156	1683
83	158	1682
84	160	1679
85	162	1676
86	164	1674
87	166	1673
88	167	1671
89	169	1667
90	171	1664
91	173	1664
92	175	1661
93	176	1657
94	178	1654
95	180	1653
96	182	1653
97	184	1653
98	186	1653
99	188	1652
100	190	1650
101	192	1649
102	194	1646
103	196	1643
104	197	1640
105	199	1637
106	201	1633
107	203	1630
108	205	1631
109	207	1629
110	208	1625
111	210	1622
112	212	1622
113	214	1620
114	216	1617
115	217	1614
116	220	1614
117	221	1610
118	224	1612
119	226	1610
120	228	1611
121	230	1609
122	231	1606
123	233	1603
124	235	1600
125	237	1601
126	239	1598
127	241	1594
128	242	1592
129	244	1589
130	246	1586
131	247	1583
132	249	1580
133	251	1578
134	253	1577
135	255	1574
136	256	1571
137	258	1569
138	260	1569
139	263	1570
140	265	1567
141	266	1565
142	269	1566
143	271	1564
144	272	1561
145	274	1558
146	276	1558
147	278	1556
148	280	1554
149	282	1551
150	284	1550
151	286	1549
152	288	1549
153	290	1547
154	292	1546
155	293	1543
156	295	1540
157	297	1538
158	299	1536
159	301	1535
160	303	1532
161	304	1530
162	306	1527
163	308	1527
164	310	1524
165	312	1522
166	314	1519
167	315	1517
168	317	1514
169	319	1512
170	321	1509
171	322	1507
172	324	1506
173	326	1504
174	328	1501
175	330	1499
176	331	1496
177	333	1494
178	335	1491
179	337	1490
180	339	1488
181	341	1485
182	342	1483
183	344	1481
184	346	1478
185	348	1477
186	350	1476
187	351	1473
188	353	1470
189	356	1471
190	357	1469
191	359	1468
192	362	1466
193	364	1468
194	366	1466
195	368	1466
196	370	1464
197	373	1464
198	375	1462
199	377	1461
200	379	1461
201	381	1461
202	383	1459
203	385	1458
204	388	1458
205	390	1458
206	393	1458
207	395	1458
208	397	1456
209	399	1455
210	401	1453
