iter	Passed	Remaining
0	18	16338
1	301	133483
2	402	118354
3	505	111538
4	580	102258
5	652	95691
6	682	85742
7	719	78972
8	849	82824
9	859	75309
10	869	69178
11	934	68041
12	963	64721
13	970	60456
14	977	56763
15	1079	58702
16	1172	59951
17	1195	57648
18	1314	59990
19	1328	57504
20	1577	64987
21	1598	62780
22	1752	65757
23	1775	63760
24	1787	61559
25	1792	59284
26	1799	57259
27	2035	62370
28	2046	60484
29	2052	58575
30	2188	60361
31	2223	59339
32	2261	58459
33	2282	57190
34	2345	57021
35	2359	55715
36	2468	56647
37	2507	55952
38	2513	54581
39	2516	53227
40	2520	51946
41	2525	50747
42	2534	49683
43	2567	49127
44	2574	48109
45	2585	47212
46	2591	46259
47	2761	48213
48	2806	47945
49	2853	47713
50	2904	47550
51	3000	48117
52	3082	48450
53	3090	47617
54	3101	46858
55	3209	47575
56	3219	46818
57	3224	46029
58	3238	45391
59	3439	47355
60	3456	46742
61	3484	46305
62	3511	45867
63	3706	47608
64	3716	46937
65	3724	46275
66	3731	45611
67	3892	46828
68	3968	46989
69	4004	46678
70	4037	46350
71	4071	46034
72	4119	45873
73	4219	46300
74	4276	46240
75	4352	46391
76	4501	47297
77	4527	46895
78	4595	46945
79	4694	47301
80	4719	46898
81	4724	46321
82	4730	45768
83	4895	46740
84	5142	48457
85	5175	48147
86	5196	47721
87	5291	47981
88	5342	47839
89	5422	47963
90	5576	48720
91	5609	48412
92	5644	48127
93	5674	47813
94	5849	48706
95	6034	49659
96	6066	49345
97	6136	49341
98	6175	49095
99	6185	48616
100	6302	48986
101	6342	48748
102	6378	48485
103	6421	48288
104	6680	49689
105	6724	49480
106	6756	49188
107	6777	48822
108	6807	48524
109	7008	49438
110	7048	49211
111	7094	49028
112	7138	48834
113	7171	48562
114	7345	49247
115	7485	49687
116	7548	49611
117	7553	49159
118	7559	48724
119	7667	48941
120	7691	48629
121	7791	48794
122	7808	48439
123	7989	49097
124	8013	48784
125	8195	49432
126	8253	49328
127	8333	49352
128	8367	49102
129	8477	49298
130	8558	49323
131	8620	49238
132	8664	49054
133	8795	49361
134	8836	49155
135	8897	49065
136	8918	48758
137	9008	48829
138	9068	48734
139	9115	48572
140	9133	48260
141	9324	48856
142	9355	48607
143	9416	48520
144	9496	48528
145	9505	48178
146	9651	48519
147	9709	48417
148	9762	48287
149	9829	48230
150	9918	48280
151	10056	48560
152	10122	48493
153	10166	48325
154	10259	48383
155	10314	48264
156	10370	48154
157	10405	47942
158	10530	48150
159	10547	47861
160	10555	47531
161	10674	47707
162	10752	47692
163	10834	47699
164	10903	47645
165	10978	47617
166	10989	47315
167	11081	47360
168	11108	47129
169	11141	46927
170	11187	46778
171	11258	46736
172	11334	46711
173	11348	46438
174	11355	46134
175	11478	46305
176	11573	46358
177	11584	46077
178	11595	45799
179	11770	46168
180	11779	45881
181	11786	45591
182	11791	45295
183	11795	45000
184	11931	45211
185	11992	45131
186	12013	44907
187	12042	44711
188	12288	45318
189	12466	45667
190	12595	45830
191	12654	45741
192	12675	45511
193	12712	45347
194	12741	45148
195	12877	45334
196	12940	45260
197	12948	44991
198	12955	44726
199	13075	44848
200	13083	44587
201	13092	44333
202	13100	44076
203	13204	44144
204	13256	44039
205	13334	44018
206	13389	43919
207	13587	44288
208	13627	44142
209	13665	43988
210	13707	43851
211	13772	43786
212	13930	44014
213	13986	43919
214	14030	43788
215	14094	43717
216	14125	43548
217	14343	43951
218	14383	43806
219	14431	43689
220	14461	43513
221	14516	43418
222	14680	43645
223	14751	43597
224	14973	43989
225	15006	43824
226	15041	43667
227	15095	43564
228	15252	43760
229	15442	44044
230	15578	44173
231	15877	44758
232	15904	44572
233	16006	44600
234	16078	44540
235	16267	44805
236	16415	44952
237	16485	44884
238	16491	44645
239	16500	44413
240	16558	44316
241	16646	44299
242	16702	44197
243	16716	43983
244	16724	43756
245	16769	43628
246	16804	43473
247	16847	43340
248	16889	43208
249	17108	43523
250	17214	43551
251	17232	43354
252	17300	43284
253	17482	43498
254	17540	43404
255	17562	43219
256	17587	43044
257	17654	42973
258	17801	43094
259	17871	43029
260	17948	42980
261	17985	42835
262	18144	42982
263	18228	42946
264	18262	42795
265	18312	42682
266	18335	42509
267	18352	42320
268	18477	42381
269	18536	42291
270	18610	42234
271	18674	42154
272	18761	42127
273	18771	41928
274	18877	41942
275	18938	41856
276	18962	41689
277	18997	41548
278	19120	41599
279	19185	41522
280	19255	41456
281	19289	41315
282	19431	41403
283	19519	41376
284	19590	41312
285	19697	41322
286	19768	41258
287	19838	41192
288	19877	41062
289	19905	40909
290	19959	40810
291	20093	40875
292	20213	40909
293	20300	40876
294	20376	40822
295	20445	40753
296	20496	40648
297	20543	40535
298	20683	40605
299	20743	40519
300	20829	40481
301	20853	40325
302	20923	40258
303	20962	40131
304	21020	40042
305	21075	39947
306	21157	39903
307	21207	39798
308	21270	39719
309	21315	39605
310	21571	39882
311	21679	39884
312	21808	39923
313	21885	39868
314	21900	39698
315	21913	39526
316	21918	39342
317	21924	39160
318	22057	39205
319	22067	39031
320	22077	38858
321	22082	38678
322	22166	38637
323	22227	38554
324	22234	38380
325	22244	38210
326	22328	38169
327	22366	38050
328	22455	38018
329	22462	37846
330	22470	37677
331	22610	37728
332	22652	37617
333	22684	37489
334	22723	37375
335	22750	37240
336	22805	37152
337	22911	37147
338	23016	37139
339	23160	37193
340	23166	37025
341	23169	36854
342	23273	36843
343	23531	37076
344	23537	36909
345	23666	36936
346	23691	36800
347	23705	36647
348	23753	36549
349	23810	36464
350	23819	36306
351	23899	36257
352	24112	36408
353	24272	36478
354	24320	36378
355	24377	36291
356	24591	36438
357	24649	36353
358	24668	36212
359	24684	36066
360	24698	35919
361	24709	35767
362	24747	35655
363	24822	35597
364	24863	35489
365	24888	35361
366	24932	35259
367	25010	35204
368	25018	35052
369	25023	34897
370	25033	34750
371	25239	34874
372	25294	34788
373	25319	34662
374	25347	34539
375	25376	34420
376	25587	34546
377	25625	34438
378	25825	34547
379	25852	34424
380	25900	34330
381	26034	34348
382	26082	34254
383	26138	34170
384	26171	34056
385	26180	33911
386	26322	33939
387	26338	33805
388	26352	33668
389	26383	33554
390	26467	33508
391	26620	33547
392	26693	33486
393	26806	33473
394	26891	33427
395	26897	33282
396	26906	33142
397	26910	32996
398	26914	32850
399	27010	32817
400	27063	32732
401	27072	32594
402	27078	32453
403	27152	32395
404	27178	32278
405	27212	32172
406	27267	32091
407	27387	32086
408	27430	31990
409	27561	31998
410	27709	32024
411	27769	31948
412	27860	31907
413	27892	31800
414	28095	31887
415	28155	31809
416	28357	31894
417	28368	31762
418	28373	31623
419	28479	31598
420	28554	31539
421	28632	31482
422	28734	31451
423	28772	31351
424	28949	31401
425	28977	31290
426	28988	31160
427	29116	31157
428	29130	31031
429	29140	30902
430	29257	30886
431	29265	30756
432	29272	30624
433	29277	30491
434	29449	30532
435	29578	30528
436	29623	30436
437	29673	30350
438	29713	30255
439	29804	30211
440	29826	30097
441	30001	30136
442	30046	30046
443	30116	29981
444	30196	29924
445	30236	29829
446	30446	29901
447	30509	29828
448	30624	29806
449	30827	29868
450	30933	29836
451	30953	29721
452	30980	29612
453	31183	29672
454	31198	29553
455	31252	29470
456	31273	29356
457	31379	29323
458	31405	29216
459	31521	29191
460	31535	29072
461	31592	28994
462	31731	28990
463	31773	28897
464	31839	28827
465	31897	28748
466	31920	28639
467	32006	28587
468	32032	28481
469	32051	28368
470	32079	28265
471	32150	28199
472	32285	28189
473	32408	28169
474	32471	28096
475	32529	28018
476	32536	27898
477	32540	27774
478	32543	27651
479	32560	27540
480	32685	27520
481	32833	27520
482	32888	27441
483	32913	27336
484	32957	27249
485	32981	27145
486	33001	27038
487	33198	27075
488	33241	26987
489	33260	26880
490	33314	26800
491	33337	26697
492	33418	26639
493	33486	26572
494	33564	26512
495	33612	26428
496	33655	26341
497	33684	26243
498	33725	26155
499	33845	26128
500	33884	26038
501	33888	25922
502	33894	25808
503	33898	25693
504	33902	25578
505	33909	25465
506	34011	25424
507	34021	25314
508	34184	25319
509	34251	25252
510	34302	25172
511	34317	25068
512	34334	24964
513	34387	24887
514	34474	24834
515	34483	24726
516	34491	24617
517	34559	24552
518	34648	24501
519	34655	24392
520	34660	24282
521	34674	24178
522	34774	24135
523	34835	24065
524	34894	23994
525	34930	23907
526	34969	23821
527	35006	23735
528	35151	23722
529	35234	23667
530	35267	23578
531	35327	23507
532	35496	23508
533	35610	23473
534	35639	23382
535	35694	23308
536	35735	23224
537	35821	23171
538	35843	23075
539	35860	22977
540	35893	22889
541	36010	22855
542	36049	22771
543	36086	22686
544	36151	22619
545	36189	22535
546	36205	22437
547	36308	22394
548	36356	22317
549	36422	22250
550	36458	22166
551	36465	22064
552	36521	21991
553	36598	21932
554	36629	21845
555	36668	21763
556	36702	21678
557	36712	21580
558	36738	21491
559	36780	21411
560	36829	21336
561	36855	21247
562	36865	21150
563	36898	21065
564	36943	20989
565	36973	20903
566	37001	20817
567	37015	20723
568	37132	20687
569	37189	20617
570	37243	20546
571	37248	20447
572	37256	20351
573	37261	20253
574	37301	20174
575	37337	20095
576	37366	20010
577	37396	19927
578	37485	19875
579	37493	19780
580	37504	19688
581	37509	19592
582	37524	19502
583	37540	19413
584	37578	19335
585	37610	19254
586	37670	19188
587	37697	19105
588	37729	19024
589	37741	18934
590	37762	18849
591	37786	18765
592	37861	18707
593	37900	18631
594	37918	18544
595	37952	18466
596	38006	18398
597	38098	18348
598	38119	18264
599	38147	18183
600	38223	18125
601	38282	18060
602	38343	17995
