iter	Passed	Remaining
0	3	3043
1	6	2950
2	10	3121
3	12	3012
4	15	2799
5	17	2630
6	19	2548
7	21	2439
8	23	2369
9	24	2295
10	26	2245
11	28	2203
12	30	2168
13	32	2133
14	34	2124
15	36	2110
16	38	2079
17	40	2048
18	42	2033
19	44	2027
20	46	2007
21	47	1984
22	49	1967
23	51	1968
24	53	1953
25	55	1935
26	57	1922
27	59	1916
28	61	1903
29	62	1891
30	64	1879
31	66	1867
32	68	1855
33	69	1844
34	71	1833
35	73	1820
36	75	1821
37	77	1814
38	78	1808
39	80	1799
40	82	1803
41	84	1797
42	86	1787
43	87	1777
44	89	1771
45	91	1768
46	93	1765
47	95	1759
48	97	1752
49	98	1747
50	101	1748
51	103	1752
52	105	1750
53	107	1751
54	109	1744
55	110	1737
56	112	1731
57	114	1727
58	116	1720
59	117	1715
60	119	1707
61	121	1705
62	123	1699
63	124	1694
64	126	1692
65	128	1687
66	130	1688
67	132	1688
68	134	1685
69	136	1688
70	139	1690
71	141	1687
72	142	1683
73	144	1680
74	146	1680
75	149	1680
76	150	1676
77	152	1671
78	154	1672
79	156	1668
80	158	1664
81	159	1659
82	161	1656
83	163	1652
84	165	1648
85	166	1644
86	168	1639
87	170	1640
88	172	1637
89	174	1633
90	176	1628
91	177	1626
92	180	1626
93	181	1622
94	183	1619
95	185	1616
96	187	1615
97	189	1611
98	190	1608
99	192	1604
100	195	1606
101	196	1603
102	198	1599
103	200	1594
104	202	1593
105	204	1591
106	206	1592
107	208	1590
108	210	1587
109	211	1584
110	213	1580
111	215	1576
112	216	1573
113	218	1569
114	220	1566
115	221	1562
116	223	1559
117	225	1557
118	227	1556
119	229	1553
120	230	1550
121	232	1547
122	234	1546
123	236	1544
124	238	1541
125	240	1538
126	242	1538
127	244	1536
128	246	1533
129	247	1530
130	249	1529
131	251	1526
132	253	1524
133	255	1521
134	257	1519
135	258	1516
136	260	1513
137	262	1510
138	263	1507
139	265	1506
140	267	1503
141	269	1502
142	271	1501
143	274	1501
144	275	1498
145	277	1495
146	279	1493
147	281	1490
148	283	1489
149	284	1487
150	286	1484
151	288	1482
152	290	1479
153	291	1476
154	293	1474
155	295	1471
156	297	1471
157	299	1470
158	301	1467
159	303	1464
160	305	1462
161	307	1461
162	309	1461
163	311	1459
164	313	1457
165	314	1454
166	316	1451
167	318	1449
168	320	1446
169	322	1446
170	324	1443
171	326	1442
172	327	1439
173	330	1439
174	331	1437
175	333	1435
176	335	1432
177	337	1431
178	339	1429
179	341	1427
180	342	1424
181	344	1422
182	347	1422
183	348	1419
184	350	1417
185	352	1414
186	353	1411
187	355	1409
188	357	1406
189	358	1403
190	360	1401
191	362	1400
192	364	1397
193	366	1395
194	368	1392
195	370	1391
196	371	1389
197	373	1386
198	375	1384
199	377	1384
200	379	1383
201	382	1382
202	384	1381
203	386	1380
204	387	1377
205	389	1375
206	391	1372
207	393	1371
208	395	1369
209	396	1366
210	398	1364
211	400	1362
212	402	1359
213	404	1357
214	405	1354
215	407	1351
216	409	1349
217	410	1347
218	412	1345
219	414	1342
220	416	1340
221	418	1339
222	420	1339
223	422	1337
224	424	1336
225	426	1334
226	428	1332
227	430	1329
228	431	1327
229	434	1326
230	435	1324
231	437	1322
232	439	1319
233	441	1318
234	443	1316
235	445	1314
236	446	1311
237	448	1309
238	450	1307
239	452	1305
240	453	1302
241	455	1300
242	457	1298
243	459	1296
244	460	1294
245	462	1291
246	464	1289
247	466	1287
248	468	1285
249	469	1283
250	471	1281
251	473	1280
252	475	1278
253	477	1276
254	479	1274
255	480	1271
256	482	1269
257	484	1267
258	486	1265
259	488	1263
260	490	1261
261	491	1259
262	493	1256
263	494	1254
264	496	1252
265	498	1250
266	500	1247
267	501	1245
268	503	1243
269	505	1241
270	507	1239
271	509	1237
272	511	1235
273	513	1233
274	514	1232
275	517	1231
276	518	1228
277	521	1228
278	523	1226
279	524	1224
280	526	1221
281	528	1219
282	530	1217
283	532	1215
284	533	1213
285	535	1211
286	537	1209
287	539	1208
288	541	1206
289	542	1203
290	544	1201
291	546	1199
292	547	1196
293	549	1194
294	551	1192
295	553	1191
296	555	1189
297	556	1186
298	558	1184
299	560	1182
300	562	1181
301	564	1178
302	566	1177
303	568	1177
304	570	1175
305	572	1173
306	574	1171
307	576	1169
308	577	1167
309	579	1164
310	581	1162
311	583	1160
312	585	1159
313	586	1156
314	588	1154
315	590	1152
316	592	1150
317	593	1148
318	595	1146
319	597	1143
320	598	1141
321	600	1139
322	602	1137
323	604	1135
324	605	1133
325	608	1132
326	610	1130
327	611	1128
328	613	1126
329	615	1124
330	617	1122
331	619	1121
332	621	1120
333	623	1118
334	626	1117
335	627	1115
336	629	1113
337	631	1112
338	633	1110
339	635	1107
340	636	1105
341	638	1103
342	640	1101
343	642	1099
344	643	1097
345	645	1095
346	647	1093
347	649	1091
348	651	1090
349	653	1088
350	655	1087
351	657	1086
352	659	1084
353	661	1081
354	663	1080
355	665	1078
356	667	1076
357	668	1074
358	670	1072
359	672	1070
360	674	1068
361	676	1066
362	677	1064
363	679	1062
364	681	1060
365	683	1059
366	685	1057
367	687	1055
368	689	1054
369	691	1052
370	693	1050
371	695	1048
372	697	1047
373	699	1045
374	701	1043
375	703	1042
376	706	1041
377	708	1039
378	710	1037
379	712	1036
380	714	1034
381	716	1033
382	718	1032
383	720	1030
384	722	1028
385	724	1026
386	725	1024
387	727	1022
388	729	1020
389	731	1018
390	733	1016
391	734	1014
392	736	1011
393	738	1009
394	739	1007
395	741	1006
396	743	1004
397	745	1002
398	747	1000
399	749	998
400	751	996
401	753	995
402	755	993
403	757	991
404	759	990
405	761	988
406	763	986
407	764	984
408	766	982
409	768	980
410	770	978
411	771	975
412	773	974
413	775	972
414	777	970
415	779	968
416	780	966
417	782	964
418	784	962
419	786	960
420	787	958
421	789	956
422	791	953
423	792	951
424	794	949
425	796	947
426	798	946
427	800	944
428	802	942
429	803	940
430	805	938
431	807	936
432	809	934
433	811	932
434	812	930
435	814	928
436	816	926
437	818	925
438	820	923
439	822	922
440	824	920
441	826	918
442	828	916
443	830	914
444	831	912
445	833	910
446	835	908
447	836	905
448	838	904
449	840	902
450	842	900
451	844	898
452	846	896
453	847	894
454	849	892
455	851	890
456	853	888
457	855	887
458	857	885
459	859	883
460	861	881
461	863	879
462	864	878
463	866	876
464	868	874
465	870	872
466	872	870
467	874	868
468	876	866
469	878	865
470	880	864
471	883	862
472	885	860
473	887	859
474	889	857
475	890	855
476	893	853
477	896	853
478	898	851
479	900	850
480	903	849
481	905	847
482	908	846
483	911	845
484	913	843
485	915	842
486	917	840
487	920	839
488	922	838
489	925	836
490	927	834
491	929	833
492	931	831
493	933	829
494	936	828
495	938	827
496	941	825
497	943	824
498	945	822
499	947	820
500	950	819
501	952	817
502	954	815
503	956	814
504	958	812
505	960	810
506	962	808
507	964	806
508	966	805
509	968	803
510	970	801
511	973	800
512	975	798
513	977	796
514	979	795
515	981	793
516	983	791
517	985	789
518	987	787
519	989	786
520	992	784
521	993	782
522	996	780
523	998	779
524	1001	778
525	1003	776
526	1005	774
527	1008	773
528	1010	771
529	1011	769
530	1014	768
531	1016	766
532	1018	764
533	1020	762
534	1022	760
535	1024	758
536	1026	757
537	1029	755
538	1031	754
539	1033	752
540	1035	750
541	1037	748
542	1039	746
543	1040	744
544	1042	742
545	1044	740
546	1046	738
547	1048	736
548	1049	734
549	1051	732
550	1053	730
551	1055	728
552	1056	726
553	1058	724
554	1060	722
555	1062	720
556	1064	718
557	1066	716
558	1067	714
559	1069	712
560	1071	710
561	1073	708
562	1074	706
563	1076	704
564	1078	702
565	1080	700
566	1082	698
567	1083	696
568	1085	694
569	1087	692
570	1089	690
571	1091	688
572	1092	686
573	1094	684
574	1096	682
575	1098	680
576	1100	678
577	1102	676
578	1103	674
579	1105	672
580	1107	670
581	1109	669
582	1111	667
583	1113	665
584	1114	663
585	1116	661
586	1118	659
587	1120	657
588	1123	655
589	1125	654
590	1127	652
591	1128	650
592	1130	648
593	1132	646
594	1134	644
595	1136	642
596	1137	640
597	1139	638
598	1141	636
599	1144	634
600	1146	633
601	1147	631
602	1149	629
603	1151	627
604	1152	625
605	1154	623
606	1156	621
607	1158	619
608	1160	617
609	1162	615
610	1163	613
611	1165	611
612	1167	609
613	1168	607
614	1170	605
615	1172	603
616	1173	601
617	1175	599
618	1177	597
619	1178	595
620	1181	593
621	1182	591
622	1184	589
623	1186	587
624	1188	585
625	1190	583
626	1191	581
627	1193	579
628	1195	577
629	1197	575
630	1199	573
631	1201	572
632	1202	570
633	1204	568
634	1206	566
635	1208	564
636	1210	562
637	1211	560
638	1213	558
639	1215	556
640	1217	554
641	1218	552
642	1220	550
643	1222	548
644	1224	546
645	1226	545
646	1228	543
647	1230	541
648	1232	539
649	1234	537
650	1236	535
651	1238	533
652	1239	531
653	1241	529
654	1243	527
655	1245	525
656	1246	523
657	1248	521
658	1250	519
659	1252	517
660	1254	516
661	1255	514
662	1257	512
663	1259	510
664	1260	508
665	1262	506
666	1264	504
667	1266	502
668	1268	500
669	1270	498
670	1271	496
671	1273	494
672	1275	492
673	1277	490
674	1279	489
675	1281	487
676	1283	485
677	1285	483
678	1287	481
679	1289	479
680	1291	477
681	1293	476
682	1295	474
683	1297	472
684	1299	470
685	1301	468
686	1303	466
687	1304	464
688	1306	462
689	1308	460
690	1310	458
691	1311	456
692	1313	454
693	1315	452
694	1317	451
695	1319	449
696	1320	447
697	1322	445
698	1324	443
699	1326	441
700	1328	439
701	1330	437
702	1333	436
703	1335	434
704	1336	432
705	1338	430
706	1340	428
707	1341	426
708	1343	424
709	1345	422
710	1346	420
711	1349	418
712	1350	416
713	1352	414
714	1354	412
715	1356	411
716	1358	409
717	1359	407
718	1361	405
719	1363	403
720	1364	401
721	1366	399
722	1368	397
723	1369	395
724	1371	393
725	1373	391
726	1375	389
727	1377	387
728	1379	385
729	1381	384
730	1383	382
731	1384	380
732	1386	378
733	1388	376
734	1390	374
735	1392	372
736	1393	370
737	1395	368
738	1397	366
739	1399	365
740	1401	363
741	1403	361
742	1404	359
743	1406	357
744	1408	355
745	1409	353
746	1411	351
747	1414	349
748	1415	347
749	1417	345
750	1419	344
751	1421	342
752	1423	340
753	1425	338
754	1427	336
755	1429	334
756	1431	332
757	1433	330
758	1435	329
759	1436	327
760	1438	325
761	1440	323
762	1441	321
763	1443	319
764	1445	317
765	1447	315
766	1449	313
767	1450	311
768	1452	309
769	1454	307
770	1455	305
771	1457	303
772	1459	302
773	1461	300
774	1462	298
775	1464	296
776	1465	294
777	1468	292
778	1469	290
779	1471	288
780	1473	286
781	1475	284
782	1477	282
783	1479	281
784	1480	279
785	1482	277
786	1484	275
787	1486	273
788	1488	271
789	1489	269
790	1491	267
791	1493	265
792	1495	264
793	1497	262
794	1498	260
795	1500	258
796	1502	256
797	1504	254
798	1505	252
799	1507	250
800	1509	248
801	1511	246
802	1513	244
803	1515	243
804	1517	241
805	1519	239
806	1520	237
807	1522	235
808	1524	233
809	1526	231
810	1528	229
811	1530	228
812	1533	226
813	1535	224
814	1537	222
815	1539	220
816	1541	218
817	1543	216
818	1544	215
819	1546	213
820	1548	211
821	1550	209
822	1551	207
823	1553	205
824	1555	203
825	1556	201
826	1558	199
827	1560	197
828	1562	196
829	1564	194
830	1566	192
831	1568	190
832	1569	188
833	1572	186
834	1574	184
835	1575	182
836	1577	180
837	1579	179
838	1581	177
839	1583	175
840	1584	173
841	1586	171
842	1588	169
843	1590	167
844	1592	165
845	1594	163
846	1595	162
847	1597	160
848	1599	158
849	1601	156
850	1603	154
851	1604	152
852	1606	150
853	1608	148
854	1610	146
855	1612	145
856	1614	143
857	1616	141
858	1618	139
859	1620	137
860	1622	135
861	1624	133
862	1626	131
863	1628	130
864	1630	128
865	1632	126
866	1634	124
867	1636	122
868	1638	120
869	1639	118
870	1641	116
871	1643	114
872	1645	113
873	1646	111
874	1648	109
875	1650	107
876	1651	105
877	1653	103
878	1655	101
879	1656	99
880	1659	97
881	1661	96
882	1662	94
883	1664	92
884	1666	90
885	1668	88
886	1670	86
887	1672	84
888	1674	82
889	1676	81
890	1678	79
891	1679	77
892	1681	75
893	1683	73
894	1685	71
895	1687	69
896	1688	67
897	1690	65
898	1692	64
899	1694	62
900	1695	60
901	1697	58
902	1699	56
903	1701	54
904	1703	52
905	1705	50
906	1707	48
907	1709	47
908	1710	45
909	1712	43
910	1714	41
911	1717	39
912	1718	37
913	1720	35
914	1722	33
915	1724	32
916	1726	30
917	1728	28
918	1730	26
919	1732	24
920	1734	22
